Geo Shape;NOM_ARRET;ID_PROJET;NOM_PROJET;ID_OPERATI;OPERATION;NATURE;MODE_;SOUS_MODE;INDICE;COR_EXIST;TERMINUS;PHASE;VARIANTE;CREATION;PROLONG;AMELIOR;STATUT;DUP;DUP_DATE;OPENDATA;geo_point_2d
"{""type"": ""Point"", ""coordinates"": [2.422343841761751, 48.62940694319859]}";Jean Renoir;245;TZen4;24501;TZen4 : TCSP Ligne 402;arrêt;2;22;4;0;0;1;;1;0;0;8;1;2016-12-08T01:00:00+01:00;1;48.6294069432,2.42234384176
"{""type"": ""Point"", ""coordinates"": [2.467356117418251, 48.882243731337404]}";Coteaux Beauclair;109;metro 11 - RBP;10901;ligne 11 à Rosny-Bois-Perrier;arrêt;1;11;11;0;0;1;;0;1;0;9;1;2014-05-28T02:00:00+02:00;1;48.8822437313,2.46735611742
"{""type"": ""Point"", ""coordinates"": [2.416612616850875, 48.7524138808094]}";Christophe Colomb;315;Tram 09;31501;T9 : Tramway Paris - Orly;arrêt;3;31;9;0;0;1;;1;0;0;9;1;2016-10-11T02:00:00+02:00;1;48.7524138808,2.41661261685
"{""type"": ""Point"", ""coordinates"": [2.399375864563053, 48.77299263154347]}";Trois Communes;315;Tram 09;31501;T9 : Tramway Paris - Orly;arrêt;3;31;9;0;0;1;;1;0;0;9;1;2016-10-11T02:00:00+02:00;1;48.7729926315,2.39937586456
"{""type"": ""Point"", ""coordinates"": [2.428717319215018, 48.63170759245092]}";Les Miroirs;245;TZen4;24501;TZen4 : TCSP Ligne 402;arrêt;2;22;4;0;0;1;;1;0;0;8;1;2016-12-08T01:00:00+01:00;1;48.6317075925,2.42871731922
"{""type"": ""Point"", ""coordinates"": [2.416479643681515, 48.879761253097925]}";Mairie des Lilas;109;metro 11 - RBP;10901;ligne 11 à Rosny-Bois-Perrier;arrêt;1;11;11;1;1;1;;0;1;0;9;1;2014-05-28T02:00:00+02:00;1;48.8797612531,2.41647964368
"{""type"": ""Point"", ""coordinates"": [2.48984685606537, 48.855846612902916]}";Val de Fontenay;115;metro 15 est;11505;ligne 15 - est - phase 2;arrêt;1;11;15;1;0;2;;1;0;0;7;1;2017-02-13T01:00:00+01:00;1;48.8558466129,2.48984685607
"{""type"": ""Point"", ""coordinates"": [2.405808944037218, 48.763914871077304]}";Rouget de Lisle;315;Tram 09;31501;T9 : Tramway Paris - Orly;arrêt;3;31;9;0;0;1;;1;0;0;9;1;2016-10-11T02:00:00+02:00;1;48.7639148711,2.40580894404
"{""type"": ""Point"", ""coordinates"": [2.446832759156071, 48.618640495234914]}";Temps des Cerises;245;TZen4;24501;TZen4 : TCSP Ligne 402;arrêt;2;22;4;0;0;1;;1;0;0;8;1;2016-12-08T01:00:00+01:00;1;48.6186404952,2.44683275916
"{""type"": ""Point"", ""coordinates"": [2.382095171631102, 48.690849339647734]}";Juvisy-sur-Orge;312;Tram 07;31202;T7 : Athis Mons - Juvisy (Phase 2);arrêt;3;31;7;1;1;2;;0;1;0;8;1;2013-11-27T01:00:00+01:00;1;48.6908493396,2.38209517163
"{""type"": ""Point"", ""coordinates"": [2.480198691861996, 48.894259072746344]}";Bondy;115;metro 15 est;11503;ligne 15 - est - phase 1;arrêt;1;11;15;1;0;1;;1;0;0;7;1;2017-02-13T01:00:00+01:00;1;48.8942590727,2.48019869186
"{""type"": ""Point"", ""coordinates"": [2.411910061414505, 48.75454738744507]}";Four-Peary;315;Tram 09;31501;T9 : Tramway Paris - Orly;arrêt;3;31;9;0;0;1;;1;0;0;9;1;2016-10-11T02:00:00+02:00;1;48.7545473874,2.41191006141
"{""type"": ""Point"", ""coordinates"": [2.46364051223874, 48.612967942842545]}";Montagnes des Glaises Haut;245;TZen4;24501;TZen4 : TCSP Ligne 402;arrêt;2;22;4;0;0;1;;1;0;0;8;1;2016-12-08T01:00:00+01:00;1;48.6129679428,2.46364051224
"{""type"": ""Point"", ""coordinates"": [2.365961635294148, 48.906575773222855]}";Front Populaire;313;Tram 08;31302;T8 à Rosa Parks;arrêt;3;31;8;1;0;2;;0;1;0;3;0;;1;48.9065757732,2.36596163529
"{""type"": ""Point"", ""coordinates"": [2.412641573826944, 48.7962759476918]}";Salvador Allende;246;TZen5;24601;TZen5 : TCSP Vallée de la Seine BFM - Choisy-le-Roi;arrêt;2;22;5;0;0;1;;1;0;0;7;1;2016-12-16T01:00:00+01:00;1;48.7962759477,2.41264157383
"{""type"": ""Point"", ""coordinates"": [2.365153605732492, 48.81944403813685]}";Porte de Choisy;315;Tram 09;31501;T9 : Tramway Paris - Orly;arrêt;3;31;9;1;1;1;;1;0;0;9;1;2016-10-11T02:00:00+02:00;1;48.8194440381,2.36515360573
"{""type"": ""Point"", ""coordinates"": [2.467167231765146, 48.613107536502724]}";Montagnes des Glaises Bas;245;TZen4;24501;TZen4 : TCSP Ligne 402;arrêt;2;22;4;0;0;1;;1;0;0;8;1;2016-12-08T01:00:00+01:00;1;48.6131075365,2.46716723177
"{""type"": ""Point"", ""coordinates"": [2.233882655313789, 48.92262290500083]}";Hôpital Louis Mourier;301;Tram 01 - Colombes;30104;T1 Ouest : Asnières - Colombes;arrêt;3;31;1;0;0;4;;0;1;0;8;1;2015-07-07T02:00:00+02:00;1;48.922622905,2.23388265531
"{""type"": ""Point"", ""coordinates"": [2.136050489663707, 48.79528024627205]}";Versailles Chantiers;318;Tram 12;31802;Tram-Train Massy - Versailles;arrêt;3;32;12;0;1;2;;1;0;0;4;0;;1;48.7952802463,2.13605048966
"{""type"": ""Point"", ""coordinates"": [2.34655688662476, 48.917681440981006]}";Saint-Denis Pleyel;115;metro 15 est;11503;ligne 15 - est - phase 1;arrêt;1;11;15;1;1;1;;1;0;0;7;1;2017-02-13T01:00:00+01:00;1;48.917681441,2.34655688662
"{""type"": ""Point"", ""coordinates"": [1.809094508773783, 48.96334411275807]}";Epône Mézières;414;Train E - Ouest;41402;RER E à l'Ouest à Mantes-la-Jolie;arrêt;4;41;E;1;0;2;;0;1;0;9;1;;1;48.9633441128,1.80909450877
"{""type"": ""Point"", ""coordinates"": [2.407424024640605, 48.64879779541552]}";Moulin à Vent;245;TZen4;24501;TZen4 : TCSP Ligne 402;arrêt;2;22;4;0;0;1;;1;0;0;8;1;2016-12-08T01:00:00+01:00;1;48.6487977954,2.40742402464
"{""type"": ""Point"", ""coordinates"": [2.333319487111158, 48.67627612432737]}";Petit Vaux;318;Tram 12;31801;Tram-Train Massy - Evry;arrêt;3;32;12;1;0;1;;1;0;0;9;1;2013-08-22T02:00:00+02:00;1;48.6762761243,2.33331948711
"{""type"": ""Point"", ""coordinates"": [2.318679120665013, 48.802757104033645]}";Bagneux M4;115;metro 15 sud;11501;ligne 15 - sud;arrêt;1;11;15;0;0;1;;1;0;0;9;1;2014-12-14T01:00:00+01:00;1;48.802757104,2.31867912067
"{""type"": ""Point"", ""coordinates"": [2.368011215033497, 48.72873302709115]}";Orly Sud;231;bus Senia - Orly;23101;TCSP Senia - Orly - secteur Aéroport d'Orly -simple;arrêt;2;21;;1;0;1;;0;1;0;4;0;;1;48.7287330271,2.36801121503
"{""type"": ""Point"", ""coordinates"": [2.43972940747767, 48.62207991181142]}";Place de la Commune;245;TZen4;24501;TZen4 : TCSP Ligne 402;arrêt;2;22;4;0;0;1;;1;0;0;8;1;2016-12-08T01:00:00+01:00;1;48.6220799118,2.43972940748
"{""type"": ""Point"", ""coordinates"": [2.502494330099535, 48.816573717179715]}";Champigny Centre;115;metro 15 est;11505;ligne 15 - est - phase 2;arrêt;1;11;15;0;1;2;;1;0;0;7;1;2017-02-13T01:00:00+01:00;1;48.8165737172,2.5024943301
"{""type"": ""Point"", ""coordinates"": [2.427072880812967, 48.915808577659654]}";Drancy-Bobigny;115;metro 15 est;11503;ligne 15 - est - phase 1;arrêt;1;11;15;1;0;1;;1;0;0;7;1;2017-02-13T01:00:00+01:00;1;48.9158085777,2.42707288081
"{""type"": ""Point"", ""coordinates"": [2.369364374886389, 48.72948457506578]}";Orly Sud;231;bus Senia - Orly;23101;TCSP Senia - Orly - secteur Aéroport d'Orly -simple;arrêt;2;21;;1;0;1;;0;1;0;4;0;;1;48.7294845751,2.36936437489
"{""type"": ""Point"", ""coordinates"": [1.848348808282501, 48.9721416769078]}";Aubergenville - Elisabethville;414;Train E - Ouest;41402;RER E à l'Ouest à Mantes-la-Jolie;arrêt;4;41;E;1;0;2;;0;1;0;9;1;;1;48.9721416769,1.84834880828
"{""type"": ""Point"", ""coordinates"": [2.278381626576826, 48.87469663168925]}";Bruix - Lalo;305;Tram 03b - Ouest;30503;T3b : Porte Maillot - Dauphine;arrêt;3;31;3B;0;0;4;;0;1;0;7;0;;1;48.8746966317,2.27838162658
"{""type"": ""Point"", ""coordinates"": [2.402818299952239, 48.81432461408604]}";Gambetta;246;TZen5;24601;TZen5 : TCSP Vallée de la Seine BFM - Choisy-le-Roi;arrêt;2;22;5;0;0;1;;1;0;0;7;1;2016-12-16T01:00:00+01:00;1;48.8143246141,2.40281829995
"{""type"": ""Point"", ""coordinates"": [2.372261733350906, 48.73835484103741]}";Caroline Aigle - Orly fret;231;bus Senia - Orly;23101;TCSP Senia - Orly - secteur Coeur d'Orly;arrêt;2;21;;1;0;1;;0;1;0;4;0;;1;48.738354841,2.37226173335
"{""type"": ""Point"", ""coordinates"": [2.041072289675926, 48.933265406128534]}";Poissy;414;Train E - Ouest;41402;RER E à l'Ouest à Mantes-la-Jolie;arrêt;4;41;E;1;0;2;;0;1;0;9;1;;1;48.9332654061,2.04107228968
"{""type"": ""Point"", ""coordinates"": [2.274202106682456, 48.87005010839991]}";Porte Dauphine;305;Tram 03b - Ouest;30503;T3b : Porte Maillot - Dauphine;arrêt;3;31;3B;1;1;4;;0;1;0;7;0;;1;48.8700501084,2.27420210668
"{""type"": ""Point"", ""coordinates"": [2.412136640475517, 48.79934453953793]}";Berthie Albrecht;246;TZen5;24601;TZen5 : TCSP Vallée de la Seine BFM - Choisy-le-Roi;arrêt;2;22;5;0;0;1;;1;0;0;7;1;2016-12-16T01:00:00+01:00;1;48.7993445395,2.41213664048
"{""type"": ""Point"", ""coordinates"": [2.440005326294889, 48.89817368537968]}";La Folie;244;TZen3;24401;TZen3 : TCSP RN3;arrêt;2;22;3;0;0;1;;1;0;0;8;1;2016-12-15T01:00:00+01:00;1;48.8981736854,2.44000532629
"{""type"": ""Point"", ""coordinates"": [2.249687391881762, 48.76935208772376]}";11 Novembre;316;Tram 10;31601;T10 : Tramway Antony - Clamart;arrêt;3;31;10;0;0;1;;1;0;0;9;1;2016-10-11T02:00:00+02:00;1;48.7693520877,2.24968739188
"{""type"": ""Point"", ""coordinates"": [2.291395573650723, 48.88554457884883]}";Porte de Champerret;305;Tram 03b - Ouest;30503;T3b : Porte d'Asnières - Porte Maillot;arrêt;3;31;3B;1;0;4;;0;1;0;7;0;;1;48.8855445788,2.29139557365
"{""type"": ""Point"", ""coordinates"": [2.414320881994156, 48.78254499746823]}";Grande Halle;246;TZen5;24601;TZen5 : TCSP Vallée de la Seine BFM - Choisy-le-Roi;arrêt;2;22;5;0;0;1;;1;0;0;7;1;2016-12-16T01:00:00+01:00;1;48.7825449975,2.41432088199
"{""type"": ""Point"", ""coordinates"": [2.395792441806179, 48.88932991202057]}";Porte de Pantin;244;TZen3;24401;TZen3 : TCSP RN3;arrêt;2;22;3;1;1;1;;1;0;0;8;1;2016-12-15T01:00:00+01:00;1;48.889329912,2.39579244181
"{""type"": ""Point"", ""coordinates"": [2.544949524211895, 48.83841251830401]}";;206;bus Est TVM;20601;Est TVM;arrêt;2;21;;0;0;1;;1;0;0;7;1;2014-07-21T02:00:00+02:00;1;48.8384125183,2.54494952421
"{""type"": ""Point"", ""coordinates"": [2.380050485020262, 48.74765590481179]}";Rue des Arpents;231;bus Senia - Orly;23101;TCSP Senia - Orly - secteur Sénia;arrêt;2;21;;0;0;1;;0;1;0;4;0;;1;48.7476559048,2.38005048502
"{""type"": ""Point"", ""coordinates"": [2.40942715517186, 48.781970671314944]}";Gare Ardoines;246;TZen5;24601;TZen5 : TCSP Vallée de la Seine BFM - Choisy-le-Roi;arrêt;2;22;5;1;0;1;;1;0;0;7;1;2016-12-16T01:00:00+01:00;1;48.7819706713,2.40942715517
"{""type"": ""Point"", ""coordinates"": [2.516831522187593, 48.9087028450769]}";Gargan;244;TZen3;24401;TZen3 : TCSP RN3;arrêt;2;22;3;1;1;1;;1;0;0;8;1;2016-12-15T01:00:00+01:00;1;48.9087028451,2.51683152219
"{""type"": ""Point"", ""coordinates"": [2.481103459704455, 48.906030267405754]}";Polissard;244;TZen3;24401;TZen3 : TCSP RN3;arrêt;2;22;3;0;0;1;;1;0;0;8;1;2016-12-15T01:00:00+01:00;1;48.9060302674,2.4811034597
"{""type"": ""Point"", ""coordinates"": [2.459695349968574, 48.89664909241983]}";Noisy-le-Sec;910;Noisy-le-Sec;91001;pôle de Noisy-le-Sec;pôle multimodal;9;91;;1;0;;;0;0;1;3;0;;1;48.8966490924,2.45969534997
"{""type"": ""Point"", ""coordinates"": [2.409034885140542, 48.77149459840202]}";Docteur Roux;246;TZen5;24601;TZen5 : TCSP Vallée de la Seine BFM - Choisy-le-Roi;arrêt;2;22;5;0;0;1;;1;0;0;7;1;2016-12-16T01:00:00+01:00;1;48.7714945984,2.40903488514
"{""type"": ""Point"", ""coordinates"": [2.224296060139083, 48.91787677310219]}";Parc Pierre Lagravère;301;Tram 01 - Colombes;30104;T1 Ouest : Asnières - Colombes;arrêt;3;31;1;1;0;4;;0;1;0;8;1;2015-07-07T02:00:00+02:00;1;48.9178767731,2.22429606014
"{""type"": ""Point"", ""coordinates"": [2.49539427921894, 48.90807140805801]}";La Fourche;244;TZen3;24401;TZen3 : TCSP RN3;arrêt;2;22;3;0;0;1;;1;0;0;8;1;2016-12-15T01:00:00+01:00;1;48.9080714081,2.49539427922
"{""type"": ""Point"", ""coordinates"": [1.695981373598411, 48.994281973671114]}";;214;bus Mantes la-Jolie;21401;TCSP Mantes-la-Jolie/Gare du Mantois;arrêt;2;21;;0;0;1;;1;0;0;4;0;;1;48.9942819737,1.6959813736
"{""type"": ""Point"", ""coordinates"": [2.419342584021662, 48.79373695268065]}";Ardoines Centre;246;TZen5;24601;TZen5 : TCSP Vallée de la Seine BFM - Choisy-le-Roi;arrêt;2;22;5;0;0;1;;1;0;0;7;1;2016-12-16T01:00:00+01:00;1;48.7937369527,2.41934258402
"{""type"": ""Point"", ""coordinates"": [2.409644519784259, 48.8924463955422]}";Delizy;244;TZen3;24401;TZen3 : TCSP RN3;arrêt;2;22;3;0;0;1;;1;0;0;8;1;2016-12-15T01:00:00+01:00;1;48.8924463955,2.40964451978
"{""type"": ""Point"", ""coordinates"": [2.431992999335661, 48.896661038781566]}";Commune de Paris;244;TZen3;24401;TZen3 : TCSP RN3;arrêt;2;22;3;0;0;1;;1;0;0;8;1;2016-12-15T01:00:00+01:00;1;48.8966610388,2.43199299934
"{""type"": ""Point"", ""coordinates"": [1.678622953528655, 49.001552186025286]}";;214;bus Mantes la-Jolie;21401;TCSP Mantes-la-Jolie/Gare du Mantois;arrêt;2;21;;0;0;1;;1;0;0;4;0;;1;49.001552186,1.67862295353
"{""type"": ""Point"", ""coordinates"": [2.228533882467138, 48.920330706429695]}";Rue de Seine;301;Tram 01 - Colombes;30104;T1 Ouest : Asnières - Colombes;arrêt;3;31;1;0;0;4;;0;1;0;8;1;2015-07-07T02:00:00+02:00;1;48.9203307064,2.22853388247
"{""type"": ""Point"", ""coordinates"": [2.413425722094124, 48.89329637050648]}";Eglise de Pantin;244;TZen3;24401;TZen3 : TCSP RN3;arrêt;2;22;3;1;0;1;;1;0;0;8;1;2016-12-15T01:00:00+01:00;1;48.8932963705,2.41342572209
"{""type"": ""Point"", ""coordinates"": [2.457888302886952, 48.90151267234942]}";Parc de la Bergère;244;TZen3;24401;TZen3 : TCSP RN3;arrêt;2;22;3;0;0;1;;1;0;0;8;1;2016-12-15T01:00:00+01:00;1;48.9015126723,2.45788830289
"{""type"": ""Point"", ""coordinates"": [2.207523837041942, 48.936100093146855]}";La Berthie;201;bus entre Seine;20101;TCSP ABSC : Argenteuil - Bezons - Sartrouville;arrêt;2;21;;0;0;1;tracé principal;0;0;1;4;0;;1;48.9361000931,2.20752383704
"{""type"": ""Point"", ""coordinates"": [2.317594693013569, 48.68552729211013]}";Gravigny-Balizy;318;Tram 12;31801;Tram-Train Massy - Evry;arrêt;3;32;12;1;0;1;;1;0;0;9;1;2013-08-22T02:00:00+02:00;1;48.6855272921,2.31759469301
"{""type"": ""Point"", ""coordinates"": [2.452086429465367, 48.900393023939216]}";Arts de la Rue;244;TZen3;24401;TZen3 : TCSP RN3;arrêt;2;22;3;0;0;1;;1;0;0;8;1;2016-12-15T01:00:00+01:00;1;48.9003930239,2.45208642947
"{""type"": ""Point"", ""coordinates"": [2.488822951863062, 48.90712610085464]}";Pasteur;244;TZen3;24401;TZen3 : TCSP RN3;arrêt;2;22;3;0;0;1;;1;0;0;8;1;2016-12-15T01:00:00+01:00;1;48.9071261009,2.48882295186
"{""type"": ""Point"", ""coordinates"": [2.21252346319636, 48.930698472527155]}";Place des Droits de l'Homme;201;bus entre Seine;20101;TCSP ABSC : Argenteuil - Bezons - Sartrouville;arrêt;2;21;;0;0;1;tracé principal;0;0;1;4;0;;1;48.9306984725,2.2125234632
"{""type"": ""Point"", ""coordinates"": [2.206513991611857, 48.90269231124255]}";Anatole France;301;Tram 01 - Rueil;30105;T1 Ouest : Nanterre - Rueil;arrêt;3;31;1;0;0;3;;0;1;0;5;0;;1;48.9026923112,2.20651399161
"{""type"": ""Point"", ""coordinates"": [2.565528485670111, 48.60057995372702]}";Miroir d'eau;243;TZen2;24301;TZen2 : TCSP Melun - Sénart;arrêt;2;22;2;0;0;1;;1;0;0;8;1;2014-07-30T02:00:00+02:00;1;48.6005799537,2.56552848567
"{""type"": ""Point"", ""coordinates"": [2.501194736625861, 48.908961087955845]}";Schmitt;244;TZen3;24401;TZen3 : TCSP RN3;arrêt;2;22;3;0;0;1;;1;0;0;8;1;2016-12-15T01:00:00+01:00;1;48.908961088,2.50119473663
"{""type"": ""Point"", ""coordinates"": [2.256968703713613, 48.947119765661654]}";Gare d'Argenteuil;201;bus entre Seine;20101;TCSP ABSC : Argenteuil - Bezons - Sartrouville;arrêt;2;21;;1;1;1;tracé principal;0;0;1;4;0;;1;48.9471197657,2.25696870371
"{""type"": ""Point"", ""coordinates"": [2.166981976195274, 48.87439970528085]}";Château de Malmaison;301;Tram 01 - Rueil;30105;T1 Ouest : Nanterre - Rueil;arrêt;3;31;1;0;1;3;;0;1;0;5;0;;1;48.8743997053,2.1669819762
"{""type"": ""Point"", ""coordinates"": [2.604433534380405, 48.58468908946838]}";Maisonnement;243;TZen2;24301;TZen2 : TCSP Melun - Sénart;arrêt;2;22;2;0;0;1;;1;0;0;8;1;2014-07-30T02:00:00+02:00;1;48.5846890895,2.60443353438
"{""type"": ""Point"", ""coordinates"": [2.557799985685863, 48.60508487202222]}";Avenue 8 mai 1945;243;TZen2;24301;TZen2 : TCSP Melun - Sénart;arrêt;2;22;2;0;0;1;;1;0;0;8;1;2014-07-30T02:00:00+02:00;1;48.605084872,2.55779998569
"{""type"": ""Point"", ""coordinates"": [2.527852715742852, 48.82791973768688]}";;202;bus Altival;20201;TCSP Altival;arrêt;2;21;NR;0;0;1;;1;0;0;7;0;;1;48.8279197377,2.52785271574
"{""type"": ""Point"", ""coordinates"": [2.194157591248167, 48.884752029299165]}";Sainte-Geneviève;301;Tram 01 - Rueil;30105;T1 Ouest : Nanterre - Rueil;arrêt;3;31;1;0;0;3;;0;1;0;5;0;;1;48.8847520293,2.19415759125
"{""type"": ""Point"", ""coordinates"": [2.625865587091314, 48.568230671456845]}";PA Jean Monnet;243;TZen2;24301;TZen2 : TCSP Melun - Sénart;arrêt;2;22;2;0;0;1;;1;0;0;8;1;2014-07-30T02:00:00+02:00;1;48.5682306715,2.62586558709
"{""type"": ""Point"", ""coordinates"": [2.596176803575962, 48.58660510078283]}";Boissenart;243;TZen2;24301;TZen2 : TCSP Melun - Sénart;arrêt;2;22;2;0;0;1;;1;0;0;8;1;2014-07-30T02:00:00+02:00;1;48.5866051008,2.59617680358
"{""type"": ""Point"", ""coordinates"": [2.533188824548591, 48.812457753849706]}";;202;bus Altival;20201;TCSP Altival;arrêt;2;21;NR;0;0;1;;1;0;0;7;0;;1;48.8124577538,2.53318882455
"{""type"": ""Point"", ""coordinates"": [2.388484149613392, 48.74724690030283]}";Rue du Puits Dixme;231;bus Senia - Orly;23101;TCSP Senia - Orly - secteur Sénia;arrêt;2;21;;0;0;1;;0;1;0;4;0;;1;48.7472469003,2.38848414961
"{""type"": ""Point"", ""coordinates"": [2.646738310367105, 48.553053292710054]}";Beauregard;243;TZen2;24301;TZen2 : TCSP Melun - Sénart;arrêt;2;22;2;0;0;1;;1;0;0;8;1;2014-07-30T02:00:00+02:00;1;48.5530532927,2.64673831037
"{""type"": ""Point"", ""coordinates"": [2.609747179513418, 48.57282358853559]}";Aimé Césaire;243;TZen2;24301;TZen2 : TCSP Melun - Sénart;arrêt;2;22;2;0;0;1;;1;0;0;8;1;2014-07-30T02:00:00+02:00;1;48.5728235885,2.60974717951
"{""type"": ""Point"", ""coordinates"": [2.283733894472665, 48.93012266950688]}";Les Courtilles;301;Tram 01 - Colombes;30103;T1 Ouest : Asnières - Colombes - Quatre routes;arrêt;3;31;1;1;1;3;;0;1;0;9;1;2015-07-07T02:00:00+02:00;1;48.9301226695,2.28373389447
"{""type"": ""Point"", ""coordinates"": [2.373576051221237, 48.73518712786328]}";Coeur d'Orly;231;bus Senia - Orly;23101;TCSP Senia - Orly - secteur Coeur d'Orly;arrêt;2;21;;0;0;1;;0;1;0;4;0;;1;48.7351871279,2.37357605122
